,year,GS_mean,moving_avg,team
481,1986,13.272727272727272,13.897727272727272,crd
482,1987,11.590909090909092,13.352272727272728,crd
483,1988,15.045454545454543,13.556818181818183,crd
484,1989,13.181818181818182,13.272727272727272,crd
485,1990,15.090909090909092,13.727272727272728,crd
486,1991,13.772727272727272,14.272727272727272,crd
487,1992,13.045454545454543,13.772727272727272,crd
488,1993,13.136363636363637,13.761363636363637,crd
489,1994,13.681818181818182,13.409090909090908,crd
490,1995,12.681818181818182,13.136363636363637,crd
491,1996,14.227272727272728,13.431818181818182,crd
492,1997,13.0,13.397727272727272,crd
493,1998,13.909090909090908,13.454545454545451,crd
494,1999,13.409090909090908,13.636363636363637,crd
495,2000,13.227272727272728,13.386363636363637,crd
496,2001,13.681818181818182,13.556818181818182,crd
497,2002,13.090909090909092,13.352272727272728,crd
498,2003,13.772727272727272,13.443181818181818,crd
499,2004,13.454545454545457,13.5,crd
500,2005,12.272727272727272,13.147727272727272,crd
501,2006,12.818181818181818,13.079545454545457,crd
502,2007,13.545454545454543,13.022727272727272,crd
503,2008,13.681818181818182,13.079545454545457,crd
504,2009,14.545454545454543,13.647727272727272,crd
505,2010,13.636363636363637,13.852272727272728,crd
506,2011,13.409090909090908,13.818181818181817,crd
507,2012,13.0,13.647727272727272,crd
508,2013,14.454545454545457,13.625,crd
509,2014,12.772727272727272,13.40909090909091,crd
510,2015,13.272727272727272,13.375,crd
511,2016,13.136363636363637,13.40909090909091,crd
512,2017,11.590909090909092,12.69318181818182,crd
513,2018,11.545454545454543,12.386363636363637,crd
514,2019,13.227272727272728,12.375,crd
515,2020,12.227272727272728,12.147727272727272,crd
516,2021,12.681818181818182,12.420454545454543,crd
517,2022,11.954545454545457,12.522727272727272,crd
518,2023,12.0,12.21590909090909,crd
519,2024,14.454545454545457,12.772727272727272,crd
520,1960,11.681818181818182,11.681818181818182,den
521,1961,11.409090909090908,11.545454545454543,den
522,1962,11.681818181818182,11.590909090909092,den
523,1963,11.0,11.443181818181818,den
524,1964,11.818181818181818,11.477272727272728,den
525,1965,11.454545454545457,11.488636363636363,den
526,1966,10.772727272727272,11.261363636363637,den
527,1967,10.818181818181818,11.21590909090909,den
528,1968,11.227272727272728,11.06818181818182,den
529,1969,12.0,11.204545454545451,den
530,1970,12.636363636363637,11.670454545454543,den
531,1971,12.272727272727272,12.034090909090908,den
532,1972,11.318181818181818,12.056818181818182,den
533,1973,13.045454545454543,12.31818181818182,den
534,1974,12.318181818181818,12.238636363636363,den
535,1975,11.863636363636363,12.136363636363637,den
536,1976,12.391304347826088,12.404644268774703,den
537,1977,13.136363636363637,12.427371541501977,den
538,1978,14.681818181818182,13.018280632411068,den
539,1979,14.318181818181818,13.63191699604743,den
540,1980,14.0,14.03409090909091,den
541,1981,14.636363636363637,14.409090909090908,den
542,1982,7.954545454545454,12.727272727272728,den
543,1983,13.772727272727272,12.590909090909092,den
544,1984,14.636363636363637,12.75,den
545,1985,13.818181818181818,12.545454545454543,den
546,1986,14.545454545454543,14.193181818181818,den
547,1987,10.772727272727272,13.443181818181818,den
548,1988,13.727272727272728,13.215909090909092,den
549,1989,14.227272727272728,13.318181818181818,den
550,1990,13.681818181818182,13.102272727272728,den
551,1991,14.0,13.909090909090908,den
552,1992,14.090909090909092,14.0,den
553,1993,14.0,13.943181818181818,den
554,1994,13.636363636363637,13.931818181818183,den
555,1995,14.045454545454543,13.943181818181818,den
556,1996,15.318181818181818,14.25,den
557,1997,14.772727272727272,14.443181818181818,den
558,1998,15.045454545454543,14.795454545454549,den
559,1999,14.045454545454543,14.795454545454549,den
560,2000,14.636363636363637,14.625,den
561,2001,14.409090909090908,14.534090909090908,den
562,2002,14.545454545454543,14.409090909090908,den
563,2003,13.0,14.147727272727272,den
564,2004,14.863636363636363,14.204545454545451,den
565,2005,14.954545454545457,14.340909090909092,den
566,2006,14.136363636363637,14.238636363636363,den
567,2007,13.318181818181818,14.318181818181818,den
568,2008,13.272727272727272,13.920454545454543,den
569,2009,13.772727272727272,13.625,den
570,2010,13.318181818181818,13.420454545454549,den
571,2011,13.136363636363637,13.375,den
572,2012,14.227272727272728,13.613636363636363,den
573,2013,13.818181818181818,13.625,den
574,2014,13.863636363636363,13.761363636363637,den
575,2015,13.590909090909092,13.875,den
576,2016,13.590909090909092,13.715909090909092,den
577,2017,13.272727272727272,13.579545454545457,den
578,2018,12.818181818181818,13.318181818181818,den
579,2019,12.545454545454543,13.056818181818183,den
580,2020,12.863636363636363,12.875,den
581,2021,12.590909090909092,12.704545454545457,den
582,2022,12.454545454545457,12.613636363636363,den
583,2023,13.954545454545457,12.96590909090909,den
584,2024,14.181818181818182,13.295454545454549,den
585,1960,11.0,11.0,det
586,1961,12.727272727272728,11.863636363636363,det
587,1962,12.772727272727272,12.166666666666666,det
588,1963,11.772727272727272,12.068181818181818,det
589,1964,11.73913043478261,12.25296442687747,det
590,1965,11.318181818181818,11.900691699604744,det
591,1966,12.954545454545457,11.946146245059287,det
592,1967,11.954545454545457,11.991600790513834,det
593,1968,12.863636363636363,12.272727272727272,det
594,1969,12.318181818181818,12.522727272727272,det
595,1970,12.545454545454543,12.420454545454543,det
596,1971,12.681818181818182,12.602272727272728,det
597,1972,12.181818181818182,12.431818181818182,det
598,1973,12.045454545454543,12.363636363636363,det
599,1974,12.5,12.352272727272728,det
600,1975,12.318181818181818,12.261363636363637,det
601,1976,11.909090909090908,12.193181818181817,det
602,1977,11.545454545454543,12.068181818181817,det
603,1978,14.090909090909092,12.46590909090909,det
604,1979,12.954545454545457,12.625,det
605,1980,13.954545454545457,13.136363636363637,det
606,1981,14.909090909090908,13.977272727272728,det
607,1982,7.318181818181818,12.28409090909091,det
608,1983,13.681818181818182,12.465909090909092,det
609,1984,13.727272727272728,12.409090909090908,det
610,1985,12.954545454545457,11.920454545454543,det
611,1986,14.227272727272728,13.647727272727272,det
612,1987,10.454545454545457,12.84090909090909,det
613,1988,14.272727272727272,12.977272727272728,det
614,1989,13.363636363636363,13.079545454545457,det
615,1990,13.318181818181818,12.852272727272728,det
616,1991,14.636363636363637,13.897727272727272,det
617,1992,13.636363636363637,13.738636363636363,det
618,1993,13.636363636363637,13.806818181818182,det
619,1994,14.090909090909092,14.0,det
620,1995,14.954545454545457,14.079545454545457,det
621,1996,14.0,14.170454545454549,det
622,1997,14.227272727272728,14.318181818181818,det
623,1998,14.0,14.295454545454543,det
624,1999,13.136363636363637,13.84090909090909,det
625,2000,13.409090909090908,13.693181818181818,det
626,2001,13.318181818181818,13.46590909090909,det
627,2002,12.909090909090908,13.193181818181818,det
628,2003,14.318181818181818,13.488636363636363,det
629,2004,14.590909090909092,13.784090909090908,det
630,2005,13.0,13.704545454545451,det
631,2006,12.045454545454543,13.488636363636363,det
632,2007,13.590909090909092,13.306818181818183,det
